가입일자,사용자코드,연령대코드,성별,가입 수
201906,회원-내국인,AGE_007,,107798
201907,회원-내국인,AGE_007,,79457
201908,회원-내국인,AGE_003,,1
201908,회원-내국인,AGE_007,,73897
201909,회원-내국인,AGE_007,,91846
201910,회원-내국인,AGE_001,,10507
201910,회원-내국인,AGE_002,,34774
201910,회원-내국인,AGE_003,,17275
201910,회원-내국인,AGE_004,,10145
201910,회원-내국인,AGE_005,,4052
201910,회원-내국인,AGE_006,,791
201910,회원-내국인,AGE_007,,6535
201910,회원-내국인,AGE_008,,12
201911,회원-내국인,AGE_001,F,2944
201911,회원-내국인,AGE_001,M,3357
201911,회원-내국인,AGE_002,F,7085
201911,회원-내국인,AGE_002,M,7910
201911,회원-내국인,AGE_003,F,2962
201911,회원-내국인,AGE_003,M,4551
201911,회원-내국인,AGE_004,F,1892
201911,회원-내국인,AGE_004,M,3058
201911,회원-내국인,AGE_005,F,791
201911,회원-내국인,AGE_005,M,1406
201911,회원-내국인,AGE_006,F,118
201911,회원-내국인,AGE_006,M,360
201911,회원-내국인,AGE_007,F,13
201911,회원-내국인,AGE_007,M,50
201911,회원-내국인,AGE_008,F,5
201911,회원-내국인,AGE_008,M,13
