가입일시,사용자코드,연령대코드,성별,가입 수,
202102,USR_001,AGE_001,F,4010,44796
202102,USR_001,AGE_001,M,3546,
202102,USR_001,AGE_002,F,9469,
202102,USR_001,AGE_002,M,8490,
202102,USR_001,AGE_003,F,3697,
202102,USR_001,AGE_003,M,4183,
202102,USR_001,AGE_004,F,3014,
202102,USR_001,AGE_004,M,3046,
202102,USR_001,AGE_005,F,1546,
202102,USR_001,AGE_005,M,1661,
202102,USR_001,AGE_006,F,343,
202102,USR_001,AGE_006,M,552,
202102,USR_001,AGE_007,F,39,
202102,USR_001,AGE_007,M,100,
202102,USR_001,AGE_008,F,527,
202102,USR_001,AGE_008,M,573,
202103,USR_001,AGE_001,F,4058,66084
202103,USR_001,AGE_001,M,3551,
202103,USR_001,AGE_002,F,14270,
202103,USR_001,AGE_002,M,11128,
202103,USR_001,AGE_003,F,5394,
202103,USR_001,AGE_003,M,5111,
202103,USR_001,AGE_004,F,3486,
202103,USR_001,AGE_004,M,3456,
202103,USR_001,AGE_005,F,1753,
202103,USR_001,AGE_005,M,1708,
202103,USR_001,AGE_006,F,398,
202103,USR_001,AGE_006,M,675,
202103,USR_001,AGE_007,F,40,
202103,USR_001,AGE_007,M,83,
202103,USR_001,AGE_008,F,5078,
202103,USR_001,AGE_008,M,5895,
202104,USR_001,AGE_001,F,1222,93907
202104,USR_001,AGE_001,M,860,
202104,USR_001,AGE_002,F,4986,
202104,USR_001,AGE_002,M,3187,
202104,USR_001,AGE_003,F,2429,
202104,USR_001,AGE_003,M,2058,
202104,USR_001,AGE_004,F,1516,
202104,USR_001,AGE_004,M,1455,
202104,USR_001,AGE_005,F,515,
202104,USR_001,AGE_005,M,697,
202104,USR_001,AGE_006,F,93,
202104,USR_001,AGE_006,M,233,
202104,USR_001,AGE_007,F,12,
202104,USR_001,AGE_007,M,25,
202104,USR_001,AGE_008,F,37686,
202104,USR_001,AGE_008,M,36933,
202105,USR_001,AGE_001,F,583,
202105,USR_001,AGE_001,M,382,
202105,USR_001,AGE_002,F,1491,
202105,USR_001,AGE_002,M,1262,
202105,USR_001,AGE_003,F,1146,
202105,USR_001,AGE_003,M,1235,
202105,USR_001,AGE_004,F,1056,
202105,USR_001,AGE_004,M,1121,
202105,USR_001,AGE_005,F,338,
202105,USR_001,AGE_005,M,510,
202105,USR_001,AGE_006,F,84,
202105,USR_001,AGE_006,M,189,
202105,USR_001,AGE_007,F,12,
202105,USR_001,AGE_007,M,19,
202105,USR_001,AGE_008,F,35096,
202105,USR_001,AGE_008,M,34398,
202106,USR_001,AGE_001,F,253,71941
202106,USR_001,AGE_001,M,241,
202106,USR_001,AGE_002,F,1076,
202106,USR_001,AGE_002,M,1020,
202106,USR_001,AGE_003,F,899,
202106,USR_001,AGE_003,M,1075,
202106,USR_001,AGE_004,F,773,
202106,USR_001,AGE_004,M,1016,
202106,USR_001,AGE_005,F,318,
202106,USR_001,AGE_005,M,525,
202106,USR_001,AGE_006,F,47,
202106,USR_001,AGE_006,M,231,
202106,USR_001,AGE_007,F,8,
202106,USR_001,AGE_007,M,18,
202106,USR_001,AGE_008,,30,
202106,USR_001,AGE_008,F,30172,
202106,USR_001,AGE_008,M,34239,
