기간,지역,자전거 가해자사고,자전거 가해자사고,자전거 가해자사고,자전거 피해자사고,자전거 피해자사고,자전거 피해자사고
2020,종로구,20,1,23,23,-,23
2020,중구,20,-,21,17,-,17
2020,용산구,18,-,22,25,-,27
2020,성동구,93,1,102,74,-,85
2020,광진구,45,-,48,47,-,49
2020,동대문구,114,-,126,95,-,101
2020,중랑구,114,1,125,95,-,110
2020,성북구,40,-,44,33,-,35
2020,강북구,38,-,43,36,-,36
2020,도봉구,57,1,60,39,-,43
2020,노원구,112,-,121,104,1,108
2020,은평구,43,1,46,39,-,40
2020,서대문구,38,1,39,24,-,26
2020,마포구,51,-,59,64,1,71
2020,양천구,75,1,93,69,-,76
2020,강서구,73,-,79,92,2,97
2020,구로구,58,-,65,47,1,50
2020,금천구,36,1,42,27,-,30
2020,영등포구,210,1,238,140,-,162
2020,동작구,67,-,81,59,-,69
2020,관악구,44,1,43,33,2,32
2020,서초구,60,1,64,59,-,62
2020,강남구,99,-,117,77,-,91
2020,송파구,198,-,233,220,2,242
2020,강동구,79,3,84,103,-,108
